temp_C,whole_seq,1arm_mod_seq,2arm_mod_seq,3arm_mod_seq,4_1arm_mod_seq,sensor_Binary,sensor_DNM,core_DNAzyme,core_G-quadruplex,analyte_amplicon,analyte_dsDNA,analyte_ssDNA,class_2
23,-14.9,,-0.8,-5.3,-14.8,False,False,False,True,False,True,False,0
23,-11.3,,-2.2,-4.2,-3.4,False,False,False,True,False,True,False,1
23,-15.2,,-0.7,-2.1,-10.8,False,False,False,True,False,True,False,1
23,-12.0,,0.3,-1.1,-2.4,False,False,False,True,False,True,False,1
23,-14.9,,-0.8,-5.3,-14.8,False,False,False,True,False,True,False,0
23,-14.9,,-0.8,-5.3,-14.8,False,False,False,True,False,False,True,1
23,-15.8,,-3.4,-2.4,-6.1,False,False,False,True,False,True,False,0
23,-15.8,,-3.4,-2.4,-6.1,False,False,False,True,False,False,True,0
23,-14.2,,-1.8,-7.4,-1.0,False,False,False,True,False,True,False,0
23,-14.2,,-1.8,-7.4,-1.0,False,False,False,True,False,False,True,0
55,-0.4,0.2,0.2,,,True,False,True,False,False,True,False,0
55,-0.4,0.2,0.2,,,True,False,True,False,False,True,False,0
55,-0.4,0.2,0.2,,,True,False,True,False,False,True,False,0
55,-0.4,0.2,0.2,,,True,False,True,False,False,True,False,0
55,-0.4,0.2,0.2,,,True,False,True,False,False,True,False,0
55,-0.4,0.2,0.2,,,True,False,True,False,False,True,False,0
55,-0.4,0.2,0.2,-0.0,,False,True,True,False,False,True,False,0
55,-0.4,0.2,0.2,-0.0,,False,True,True,False,False,True,False,0
55,-0.4,0.2,0.2,-0.0,,False,True,True,False,False,True,False,0
55,-0.4,0.2,0.2,-0.0,,False,True,True,False,False,True,False,0
55,-0.4,0.2,0.2,-0.0,,False,True,True,False,False,True,False,0
55,-0.4,0.2,0.2,-0.0,,False,True,True,False,False,True,False,0
23,-18.2,-7.0,-5.0,,,True,False,True,False,False,True,False,0
23,-18.2,-7.0,-5.0,,,True,False,True,False,False,True,False,0
